Light_condition,ABA_treatment,Metric,Col,pifq,cop1-4,det1-1,hy5,phyB-9,35S:PIF4
Low light,Mock,Average,3.20325,1.8891666666666667,2.2367,3.24,9.1349,5.752222,13.129625
Low light,Mock,SD,0.3889836791326584,0.296050721012067,0.33255171343005185,0.413324391527501,1.298661574164156,0.531432,1.273713125
Low light,10 muM ABA,Average,1.6917777777777778,1.5376666666666667,1.6806521739130436,1.9682083333333333,3.36852,2.202222,7.151333333
Low light,10 muM ABA,SD,0.27732532039706276,0.2393045479439679,0.21137227148836293,0.25144088754125893,0.5426914500892753,0.430255,1.151332272
Dark,Mock,Average,13.296875,8.119230769230771,5.3742857142857146,5.413333333333333,13.09,,
Dark,Mock,SD,1.0586766503517493,0.6226751632868932,1.1491425374724245,0.6250013333319149,1.0055247386315267,,
Dark,10 muM ABA,Average,13.142777777777779,4.888571428571428,3.1775,3.3099999999999996,13.171666666666663,,
Dark,10 muM ABA,SD,1.043274288876164,0.8207400841400968,0.43768057497938156,0.34547069340249403,1.7370080890569695,,
